"InstrumentID","InstrumentType","Readiness","Lane","Material","Thickness_in","Length_Mode","Note","Midi","Target_Hz","Length_in","Predicted_Hz","Cents_Error"
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.25,"Nominal","D4",62,293.6647679174076,4.640636645603033,293.6647679174075,-1.9220559022889507e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.25,"Short-1%","D4",62,293.6647679174076,4.594230279147003,299.62735222671915,34.7989672682757
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.25,"Long-1%","D4",62,293.6647679174076,4.687043012059063,287.8784118394349,-34.452703144968396
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.375,"Nominal","D4",62,293.6647679174076,5.683595931694182,293.6647679174076,0
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.375,"Short-1%","D4",62,293.6647679174076,5.62675997237724,299.6273522267192,34.7989672682757
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.375,"Long-1%","D4",62,293.6647679174076,5.740431891011124,287.8784118394349,-34.452703144968396
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.25,"Nominal","E4",64,329.6275569128699,4.380177724274042,329.62755691286986,-1.9220559022889507e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.25,"Short-1%","E4",64,329.6275569128699,4.336375947031302,336.32033150991725,34.79896726827608
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.25,"Long-1%","E4",64,329.6275569128699,4.423979501516783,323.1325918173413,-34.452703144968396
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.375,"Nominal","E4",64,329.6275569128699,5.3646002035883145,329.62755691287003,7.688223609155801e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.375,"Short-1%","E4",64,329.6275569128699,5.310954201552431,336.3203315099173,34.798967268276456
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.375,"Long-1%","E4",64,329.6275569128699,5.418246205624198,323.1325918173414,-34.452703144967806
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.25,"Nominal","F4",65,349.2282314330039,4.255482567061744,349.228231433004,3.8441118045779003e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.25,"Short-1%","F4",65,349.2282314330039,4.212927741391127,356.31897911744096,34.79896726827608
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.25,"Long-1%","F4",65,349.2282314330039,4.298037392732361,342.34705561513965,-34.452703144967806
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.375,"Nominal","F4",65,349.2282314330039,5.211880449305184,349.228231433004,3.8441118045779003e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.375,"Short-1%","F4",65,349.2282314330039,5.159761644812132,356.31897911744096,34.79896726827608
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.375,"Long-1%","F4",65,349.2282314330039,5.263999253798236,342.34705561513965,-34.452703144967806
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.25,"Nominal","G4",67,391.99543598174927,4.016640683114333,391.9954359817491,-7.688223609155805e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.25,"Short-1%","G4",67,391.99543598174927,3.9764742762831893,399.9545311516675,34.798967268276456
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.25,"Long-1%","G4",67,391.99543598174927,4.056807089945476,384.27157727845236,-34.4527031449682
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.375,"Nominal","G4",67,391.99543598174927,4.919360076867087,391.99543598174927,0
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.375,"Short-1%","G4",67,391.99543598174927,4.870166476098416,399.95453115166754,34.79896726827683
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.375,"Long-1%","G4",67,391.99543598174927,4.968553677635758,384.27157727845236,-34.4527031449682
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.25,"Nominal","A4",69,440,3.791203964063868,440.0000000000001,3.8441118045779003e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.25,"Short-1%","A4",69,440,3.7532919244232295,448.9337822671156,34.79896726827608
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.25,"Long-1%","A4",69,440,3.829116003704507,431.33026173904517,-34.4527031449682
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.375,"Nominal","A4",69,440,4.643257611386685,440,0
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.375,"Short-1%","A4",69,440,4.5968250352728175,448.93378226711565,34.798967268276456
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.375,"Long-1%","A4",69,440,4.689690187500552,431.33026173904517,-34.4527031449682
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.25,"Nominal","B4",71,493.8833012561241,3.578420035816895,493.88330125612407,-3.844111804577902e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.25,"Short-1%","B4",71,493.8833012561241,3.542635835458726,503.9111327988206,34.7989672682757
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.25,"Long-1%","B4",71,493.8833012561241,3.6142042361750644,484.15184908942655,-34.45270314496859
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.375,"Nominal","B4",71,493.8833012561241,4.382651586551648,493.88330125612424,3.8441118045779003e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.375,"Short-1%","B4",71,493.8833012561241,4.3388250706861315,503.9111327988208,34.798967268276456
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.375,"Long-1%","B4",71,493.8833012561241,4.426478102417165,484.1518490894267,-34.452703144968005
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.25,"Nominal","C5",72,523.2511306011972,3.4765493636601446,523.2511306011971,-3.844111804577902e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.25,"Short-1%","C5",72,523.2511306011972,3.441783870023543,533.8752480371361,34.7989672682757
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.25,"Long-1%","C5",72,523.2511306011972,3.511314857296746,512.9410161760584,-34.452703144968396
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.375,"Nominal","C5",72,523.2511306011972,4.2578860032824535,523.2511306011974,3.8441118045779003e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.375,"Short-1%","C5",72,523.2511306011972,4.215307143249629,533.8752480371363,34.798967268276456
"TNG-001","Tongue drum","prototype","Round24 B6","Padauk",0.375,"Long-1%","C5",72,523.2511306011972,4.300464863315278,512.9410161760588,-34.452703144966826
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.25,"Nominal","D4",62,293.6647679174076,4.792943284217637,293.6647679174076,0
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.25,"Short-1%","D4",62,293.6647679174076,4.745013851375461,299.6273522267192,34.7989672682757
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.25,"Long-1%","D4",62,293.6647679174076,4.840872717059813,287.87841183943493,-34.452703144968005
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.375,"Nominal","D4",62,293.6647679174076,5.870132706216309,293.6647679174076,0
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.375,"Short-1%","D4",62,293.6647679174076,5.811431379154146,299.62735222671927,34.79896726827608
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.375,"Long-1%","D4",62,293.6647679174076,5.928834033278473,287.878411839435,-34.452703144967614
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.25,"Nominal","E4",64,329.6275569128699,4.523936048113261,329.62755691287,3.8441118045779003e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.25,"Short-1%","E4",64,329.6275569128699,4.478696687632128,336.3203315099173,34.798967268276456
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.25,"Long-1%","E4",64,329.6275569128699,4.569175408594393,323.1325918173413,-34.452703144968396
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.375,"Nominal","E4",64,329.6275569128699,5.540667473430249,329.62755691286986,-1.9220559022889507e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.375,"Short-1%","E4",64,329.6275569128699,5.485260798695946,336.3203315099173,34.798967268276456
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.375,"Long-1%","E4",64,329.6275569128699,5.5960741481645515,323.13259181734134,-34.4527031449682
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.25,"Nominal","F4",65,349.2282314330039,4.395148370478249,349.2282314330039,0
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.25,"Short-1%","F4",65,349.2282314330039,4.351196886773466,356.3189791174411,34.79896726827683
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.25,"Long-1%","F4",65,349.2282314330039,4.4390998541830315,342.3470556151395,-34.45270314496859
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.375,"Nominal","F4",65,349.2282314330039,5.382935425748334,349.22823143300394,3.8441118045779003e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.375,"Short-1%","F4",65,349.2282314330039,5.329106071490851,356.3189791174411,34.79896726827683
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.375,"Long-1%","F4",65,349.2282314330039,5.436764780005817,342.3470556151396,-34.452703144968005
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.25,"Nominal","G4",67,391.99543598174927,4.148467647319222,391.9954359817492,-1.9220559022889507e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.25,"Short-1%","G4",67,391.99543598174927,4.10698297084603,399.9545311516675,34.798967268276456
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.25,"Long-1%","G4",67,391.99543598174927,4.189952323792415,384.2715772784523,-34.452703144968396
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.375,"Nominal","G4",67,391.99543598174927,5.080814475188149,391.99543598174927,0
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.375,"Short-1%","G4",67,391.99543598174927,5.030006330436268,399.95453115166737,34.79896726827608
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.375,"Long-1%","G4",67,391.99543598174927,5.131622619940031,384.2715772784523,-34.452703144968396
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.25,"Nominal","A4",69,440,3.9156320492956733,439.9999999999999,-5.766167706866853e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.25,"Short-1%","A4",69,440,3.8764757288027165,448.9337822671156,34.79896726827608
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.25,"Long-1%","A4",69,440,3.95478836978863,431.33026173904517,-34.4527031449682
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.375,"Nominal","A4",69,440,4.7956502706314135,440,0
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.375,"Short-1%","A4",69,440,4.7476937679250995,448.9337822671155,34.7989672682757
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.375,"Long-1%","A4",69,440,4.8436067733377275,431.33026173904517,-34.4527031449682
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.25,"Nominal","B4",71,493.8833012561241,3.695864509243364,493.88330125612407,-3.844111804577902e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.25,"Short-1%","B4",71,493.8833012561241,3.6589058641509307,503.91113279882063,34.79896726827608
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.25,"Long-1%","B4",71,493.8833012561241,3.7328231543357977,484.1518490894266,-34.452703144968396
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.375,"Nominal","B4",71,493.8833012561241,4.526491103054003,493.883301256124,-5.766167706866853e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.375,"Short-1%","B4",71,493.8833012561241,4.481226192023462,503.91113279882063,34.79896726827608
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.375,"Long-1%","B4",71,493.8833012561241,4.571756014084543,484.15184908942655,-34.45270314496859
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.25,"Nominal","C5",72,523.2511306011972,3.5906504209059245,523.2511306011972,0
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.25,"Short-1%","C5",72,523.2511306011972,3.5547439166968653,533.8752480371363,34.798967268276456
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.25,"Long-1%","C5",72,523.2511306011972,3.6265569251149836,512.9410161760586,-34.452703144967614
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.375,"Nominal","C5",72,523.2511306011972,4.397630687964582,523.2511306011972,0
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.375,"Short-1%","C5",72,523.2511306011972,4.353654381084936,533.8752480371363,34.798967268276456
"TNG-001","Tongue drum","prototype","Round24 B6","Hard maple",0.375,"Long-1%","C5",72,523.2511306011972,4.441606994844228,512.9410161760585,-34.452703144968005
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.25,"Nominal","D4",62,293.6647679174076,4.854570792271795,293.66476791740763,3.8441118045779003e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.25,"Short-1%","D4",62,293.6647679174076,4.806025084349077,299.6273522267193,34.798967268276456
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.25,"Long-1%","D4",62,293.6647679174076,4.903116500194512,287.87841183943505,-34.452703144967224
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.375,"Nominal","D4",62,293.6647679174076,5.945610680642284,293.66476791740763,3.8441118045779003e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.375,"Short-1%","D4",62,293.6647679174076,5.886154573835861,299.6273522267193,34.798967268276456
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.375,"Long-1%","D4",62,293.6647679174076,6.005066787448707,287.87841183943493,-34.452703144968005
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.25,"Nominal","E4",64,329.6275569128699,4.582104669920165,329.6275569128699,0
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.25,"Short-1%","E4",64,329.6275569128699,4.536283623220963,336.3203315099173,34.798967268276456
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.25,"Long-1%","E4",64,329.6275569128699,4.627925716619367,323.1325918173413,-34.452703144968396
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.375,"Nominal","E4",64,329.6275569128699,5.611909194664172,329.6275569128699,0
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.375,"Short-1%","E4",64,329.6275569128699,5.55579010271753,336.32033150991725,34.79896726827608
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.375,"Long-1%","E4",64,329.6275569128699,5.668028286610814,323.1325918173413,-34.452703144968396
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.25,"Nominal","F4",65,349.2282314330039,4.45166104453654,349.2282314330039,0
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.25,"Short-1%","F4",65,349.2282314330039,4.407144434091175,356.31897911744085,34.7989672682757
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.25,"Long-1%","F4",65,349.2282314330039,4.4961776549819055,342.34705561513965,-34.452703144967806
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.375,"Nominal","F4",65,349.2282314330039,5.452149033469851,349.22823143300394,3.8441118045779003e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.375,"Short-1%","F4",65,349.2282314330039,5.397627543135153,356.318979117441,34.798967268276456
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.375,"Long-1%","F4",65,349.2282314330039,5.50667052380455,342.3470556151397,-34.452703144967415
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.25,"Nominal","G4",67,391.99543598174927,4.201808508703797,391.99543598174915,-3.844111804577902e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.25,"Short-1%","G4",67,391.99543598174927,4.159790423616759,399.9545311516676,34.79896726827683
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.25,"Long-1%","G4",67,391.99543598174927,4.2438265937908355,384.2715772784523,-34.452703144968396
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.375,"Nominal","G4",67,391.99543598174927,5.146143421604516,391.99543598174927,0
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.375,"Short-1%","G4",67,391.99543598174927,5.094681987388471,399.9545311516675,34.798967268276456
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.375,"Long-1%","G4",67,391.99543598174927,5.197604855820561,384.27157727845236,-34.4527031449682
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.25,"Nominal","A4",69,440,3.965979118172888,439.9999999999999,-5.766167706866853e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.25,"Short-1%","A4",69,440,3.926319326991159,448.9337822671156,34.79896726827608
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.25,"Long-1%","A4",69,440,4.005638909354617,431.33026173904517,-34.4527031449682
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.375,"Nominal","A4",69,440,4.857312585028381,440.00000000000006,0
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.375,"Short-1%","A4",69,440,4.8087394591780965,448.93378226711565,34.798967268276456
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.375,"Long-1%","A4",69,440,4.905885710878665,431.33026173904517,-34.4527031449682
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.25,"Nominal","B4",71,493.8833012561241,3.743385814275383,493.8833012561241,-1.9220559022889507e-13
