Component,ConfigName,FeatureName,FeatureType,DimFullName,Value_mm,Value_in,Tolerance_Type,IsDriven,IsLinked,IsGlobalVar,EquationOrComment
TNG-000_MasterLayout-1,MASTER_TEMPLATE,SK_OUTER_BOX,ProfileFeature,drum_len_in_sketch@SK_OUTER_BOX@TNG-000_MasterLayout.Part,457.2000,18.0000,N/A,TRUE,FALSE,FALSE,
TNG-000_MasterLayout-1,MASTER_TEMPLATE,SK_OUTER_BOX,ProfileFeature,drum_wid_in@SK_OUTER_BOX@TNG-000_MasterLayout.Part,254.0000,10.0000,N/A,TRUE,FALSE,FALSE,
TNG-000_MasterLayout-1,MASTER_TEMPLATE,SK_CAVITY,ProfileFeature,end_cap_thk_in_sketch@SK_CAVITY@TNG-000_MasterLayout.Part,12.7000,0.5000,N/A,TRUE,FALSE,FALSE,
TNG-000_MasterLayout-1,MASTER_TEMPLATE,SK_CAVITY,ProfileFeature,side_thk_in_sketch@SK_CAVITY@TNG-000_MasterLayout.Part,12.7000,0.5000,N/A,TRUE,FALSE,FALSE,
TNG-000_MasterLayout-1,MASTER_TEMPLATE,SK_HEIGHT_STACK,ProfileFeature,top_thk_in_sketch@SK_HEIGHT_STACK@TNG-000_MasterLayout.Part,12.7000,0.5000,N/A,TRUE,FALSE,FALSE,
TNG-000_MasterLayout-1,MASTER_TEMPLATE,SK_HEIGHT_STACK,ProfileFeature,bottom_thk_in_sketch@SK_HEIGHT_STACK@TNG-000_MasterLayout.Part,12.7000,0.5000,N/A,TRUE,FALSE,FALSE,
TNG-000_MasterLayout-1,MASTER_TEMPLATE,SK_HEIGHT_STACK,ProfileFeature,cavity_hgt_in@SK_HEIGHT_STACK@TNG-000_MasterLayout.Part,127.0000,5.0000,N/A,TRUE,FALSE,FALSE,
TNG-000_MasterLayout-1,MASTER_TEMPLATE,SK_PORT,ProfileFeature,port_dia_in@SK_PORT@TNG-000_MasterLayout.Part,38.1000,1.5000,N/A,TRUE,FALSE,FALSE,
TNG-000_MasterLayout-1,MASTER_TEMPLATE,SK_FEET,ProfileFeature,foot_dia@SK_FEET@TNG-000_MasterLayout.Part,31.7500,1.2500,N/A,TRUE,FALSE,FALSE,
TNG-000_MasterLayout-1,MASTER_TEMPLATE,SK_FEET,ProfileFeature,foot_setting@SK_FEET@TNG-000_MasterLayout.Part,20.8868,0.8223,N/A,FALSE,FALSE,FALSE,
TNG-000_MasterLayout-1,MASTER_TEMPLATE,SK_FEET,ProfileFeature,screw_hole@SK_FEET@TNG-000_MasterLayout.Part,3.2766,0.1290,N/A,FALSE,FALSE,FALSE,
TNG-000_MasterLayout-1,MASTER_TEMPLATE,[Equation 0],Equation,,,,,,,TRUE,"""drum_len_in""= 18in"
TNG-000_MasterLayout-1,MASTER_TEMPLATE,[Equation 1],Equation,,,,,,,TRUE,"""drum_wid_in""= 10in"
TNG-000_MasterLayout-1,MASTER_TEMPLATE,[Equation 2],Equation,,,,,,,TRUE,"""drum_hgt_in""= 6in"
